City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,la joya,18.6667,-99.4667,303.8,62,94,1.62,MX,1685062439
190,cidreira,-30.1811,-50.2056,293.86,91,0,6.12,BR,1685062439
191,shenjiamen,29.9576,122.298,293.4,90,100,4.77,CN,1685062439
192,yomou,7.5603,-9.2653,295.27,98,100,0.84,GN,1685062440
193,airai,-8.9266,125.4092,291.97,62,72,1.64,TL,1685062440
194,mareeba,-17.0,145.4333,297.31,80,73,1.86,AU,1685062440
195,makakilo city,21.3469,-158.0858,301.33,58,40,8.23,US,1685062440
196,mandalgovi,45.7625,106.2708,281.86,51,100,2.33,MN,1685062440
197,matane,48.8286,-67.522,278.83,97,100,4.25,CA,1685062440
198,krasnaya gorka,55.1962,56.6673,289.46,59,86,0.92,RU,1685062441
199,nybro,56.7446,15.9071,283.73,63,6,3.48,SE,1685062441
200,norman wells,65.282,-126.8329,290.17,48,75,6.17,CA,1685062441
201,kruisfontein,-34.0033,24.7314,284.75,72,100,10.94,ZA,1685062441
202,salina,38.8403,-97.6114,295.54,75,100,5.14,US,1685062379
203,bilma,18.6853,12.9164,307.11,14,0,4.44,NE,1685062441
204,tesanjka,44.6731,18.0128,287.71,93,96,1.03,BA,1685062441
205,tsogni,-2.7942,10.0988,297.44,94,55,2.52,GA,1685062441
206,coahuayana,18.7333,-103.6833,301.4,68,97,1.56,MX,1685062442
207,qaqortoq,60.7167,-46.0333,273.8,99,100,1.76,GL,1685062442
208,okhotsk,59.3833,143.3,278.13,76,62,1.95,RU,1685062442
209,fortuna,40.5982,-124.1573,285.74,94,100,4.12,US,1685062442
210,urucara,-2.5364,-57.76,297.92,90,100,1.33,BR,1685062442
211,tonantins,-2.8731,-67.8022,297.26,98,100,0.81,BR,1685062442
212,yerbogachen,61.2767,108.0108,282.29,50,54,5.84,RU,1685062443
213,mandurah,-32.55,115.7,284.77,65,0,4.13,AU,1685062443
214,comodoro rivadavia,-45.8667,-67.5,281.07,36,0,9.26,AR,1685062351
215,vestmannaeyjar,63.4427,-20.2734,280.01,78,100,3.72,IS,1685062443
216,saint anthony,45.0205,-93.218,297.09,31,0,7.2,US,1685062443
217,ola,59.5833,151.2833,284.34,88,93,3.1,RU,1685062443
218,kuli,42.0185,47.2434,283.92,75,100,2.49,RU,1685062443
219,grand gaube,-20.0064,57.6608,297.24,81,59,8.66,MU,1685062444
220,rocha,-34.4833,-54.3333,293.38,73,73,4.69,UY,1685062391
221,caracuaro,19.0106,-101.1264,306.64,29,12,2.43,MX,1685062444
222,carnarvon,-24.8667,113.6333,293.48,52,100,8.97,AU,1685062444
223,svetlaya,46.5389,138.3297,287.66,65,100,7.43,RU,1685062444
224,alice springs,-23.7,133.8833,285.9,50,0,8.23,AU,1685062208
225,leticia,-4.2153,-69.9406,299.18,94,40,0.0,CO,1685062445
226,verdun,49.25,5.3333,284.91,88,0,3.23,FR,1685062445
227,vrangel,42.7297,133.0839,284.95,92,100,0.96,RU,1685062445
228,gat,31.61,34.7642,292.26,68,52,1.02,IL,1685062445
229,the valley,18.217,-63.0578,301.07,80,78,6.85,AI,1685062445
230,leh,34.1667,77.5833,277.52,67,100,2.99,IN,1685062445
231,maymyo,22.0333,96.4667,295.3,77,2,1.11,MM,1685062446
232,fernley,39.608,-119.2518,296.34,30,73,3.58,US,1685062224
233,mahebourg,-20.4081,57.7,297.07,78,100,8.14,MU,1685062446
234,oia,40.5426,-8.5386,289.95,90,0,0.89,PT,1685062446
235,villamartin,36.8598,-5.6449,292.23,83,0,2.81,ES,1685062446
236,tasiilaq,65.6145,-37.6368,275.24,79,100,2.64,GL,1685062446
237,kiunga,-6.1219,141.2906,296.71,95,100,1.0,PG,1685062446
238,broken hill,-31.95,141.4333,284.77,50,0,7.43,AU,1685062447
239,bonfim,3.0833,-59.95,299.05,84,96,1.61,BR,1685062452
